itemName, itemId, fromDate, raidName
"Hailstone Band", 23028, "2025-07-01", "Naxx"
"Desecrated Girdle", 22363, "2025-07-01", "Naxx"
"Icy Scale Coif", 23033, "2025-07-01", "Naxx"
"Desecrated Spaulders", 22361, "2025-07-01", "Naxx"
"Widow's Remorse", 22806, "2025-07-01", "Naxx"
"Desecrated Sandals", 22372, "2025-07-01", "Naxx"
"Harbinger of Doom", 23044, "2025-07-01", "Naxx"
"Severance", 22815, "2025-07-01", "Naxx"
"Girdle of the Mentor", 23219, "2025-07-01", "Naxx"
"Polar Helmet", 23020, "2025-07-01", "Naxx"
"Ring of the Cryptstalker", 23067, "2025-07-01", "Naxx"
"Maul of the Redeemed Crusader", 22809, "2025-07-01", "Naxx"
"Shroud of Dominion", 23045, "2025-07-01", "Naxx"
"The Widow's Embrace", 22942, "2025-07-01", "Naxx"
"Slayer's Crest", 23041, "2025-07-01", "Naxx"
"Resilience of the Scourge", 23547, "2025-07-01", "Naxx"
"Ring of the Eternal Flame", 23237, "2025-07-01", "Naxx"
"Leggings of the Grand Crusader", 23668, "2025-07-01", "Naxx"
"Cloak of the Necropolis", 23050, "2025-07-01", "Naxx"
"Claw of the Frost Wyrm", 23242, "2025-07-01", "Naxx"
"Ring of Faith", 23061, "2025-07-01", "Naxx"
"Desecrated Waistguard", 22356, "2025-07-01", "Naxx"
"Ring of Redemption", 23066, "2025-07-01", "Naxx"
"Soulstring", 22811, "2025-07-01", "Naxx"
"Necklace of Necropsy", 23036, "2025-07-01", "Naxx"
"Icebane Helmet", 23019, "2025-07-01", "Naxx"
"Shield of Condemnation", 22819, "2025-07-01", "Naxx"
"Band of Reanimation", 22961, "2025-07-01", "Naxx"
"Icy Scale Spaulders", 22967, "2025-07-01", "Naxx"
"Girdle of Elemental Fury", 23663, "2025-07-01", "Naxx"
"Sapphiron's Right Eye", 23048, "2025-07-01", "Naxx"
"The Eye of Nerub", 23039, "2025-07-01", "Naxx"
"Power of the Scourge", 23545, "2025-07-01", "Naxx"
"Desecrated Wristguards", 22362, "2025-07-01", "Naxx"
"Wristguards of Vengeance", 22936, "2025-07-01", "Naxx"
"Bonescythe Ring", 23060, "2025-07-01", "Naxx"
"Ring of the Dreamwalker", 23064, "2025-07-01", "Naxx"
"Gressil", 23054, "2025-07-01", "Naxx"
"Pauldrons of Elemental Fury", 23664, "2025-07-01", "Naxx"
"Eye of the Dead", 23047, "2025-07-01", "Naxx"
"Loatheb's Reflection", 23042, "2025-07-01", "Naxx"
"The End of Dreams", 22988, "2025-07-01", "Naxx"
"Malice Stone Pendant", 22943, "2025-07-01", "Naxx"
"Preceptor's Hat", 23035, "2025-07-01", "Naxx"
"Plated Abomination Ribcage", 23000, "2025-07-01", "Naxx"
"Gluth's Missing Collar", 22981, "2025-07-01", "Naxx"
"Kingsfall", 22802, "2025-07-01", "Naxx"
"Soulseeker", 22799, "2025-07-01", "Naxx"
"Desecrated Gloves", 22371, "2025-07-01", "Naxx"
"Kiss of the Spider", 22954, "2025-07-01", "Naxx"
"Desecrated Breastplate", 22349, "2025-07-01", "Naxx"
"Leggings of Polarity", 23070, "2025-07-01", "Naxx"
"Desecrated Legplates", 22352, "2025-07-01", "Naxx"
"Desecrated Bindings", 22369, "2025-07-01", "Naxx"
"Might of the Scourge", 23548, "2025-07-01", "Naxx"
"Signet of the Fallen Defender", 23018, "2025-07-01", "Naxx"
"Rime Covered Mantle", 22983, "2025-07-01", "Naxx"
"Legplates of Carnage", 23068, "2025-07-01", "Naxx"
"Band of Unnatural Forces", 23038, "2025-07-01", "Naxx"
"Wand of Fates", 22820, "2025-07-01", "Naxx"
"Desecrated Headpiece", 22360, "2025-07-01", "Naxx"
"Misplaced Servo Arm", 23221, "2025-07-01", "Naxx"
"Cloak of the Scourge", 23030, "2025-07-01", "Naxx"
"Toxin Injector", 22810, "2025-07-01", "Naxx"
"Desecrated Bracers", 22355, "2025-07-01", "Naxx"
"Desecrated Robe", 22351, "2025-07-01", "Naxx"
"Glacial Headdress", 23032, "2025-07-01", "Naxx"
"Doomfinger", 22821, "2025-07-01", "Naxx"
"Desecrated Gauntlets", 22357, "2025-07-01", "Naxx"
"Desecrated Leggings", 22366, "2025-07-01", "Naxx"
"The Phylactery of Kel'Thuzad", 22520, "2025-07-01", "Naxx"
"Ring of the Earthshatterer", 23065, "2025-07-01", "Naxx"
"The Soul Harvester's Bindings", 23021, "2025-07-01", "Naxx"
"Desecrated Helmet", 22353, "2025-07-01", "Naxx"
"Ring of the Dreadnaught", 23059, "2025-07-01", "Naxx"
"Bracelets of Royal Redemption", 21604, "2025-07-06", "AQ40"
"Eyestalk Waist Cord", 22730, "2025-07-06", "AQ40"
"Dark Storm Gauntlets", 21585, "2025-07-06", "AQ40"
"Death's Sting", 21126, "2025-07-06", "AQ40"
"Eye of C'thun", 21221, "2025-07-06", "AQ40"
"Grasp of the Old God", 21582, "2025-07-06", "AQ40"
"Scepter of the False Prophet", 21839, "2025-07-06", "AQ40"
"Gauntlets of Annihilation", 21581, "2025-07-06", "AQ40"
"Jom Gabbar", 23570, "2025-07-12", "AQ40"
"Idol of Health", 22399, "2025-07-12", "AQ40"
"Belt of Never-ending Agony", 21586, "2025-07-26", "AQ40"
"Badge of the Swarmguard", 21670, "2025-07-26", "AQ40"
"Ring of the Godslayer", 21596, "2026-01-01", "AQ40"
"Onslaught Girdle", 19137, "2025-07-06", "MC"
"Quick Strike Ring", 18821, "2025-07-06", "MC"
"Talisman of Ephemeral Power", 18820, "2025-07-06", "MC"
"Neltharion's Tear", 19379, "2025-07-06", "BWL"
"Drake Fang Talisman", 19406, "2025-07-06", "BWL"
"Rejuvenating Gem", 19395, "2025-07-06", "BWL"
"Ashjre'thul, Crossbow of Smiting", 19361, "2025-07-06", "BWL"
"Chromatic Boots", 19387, "2025-07-06", "BWL"
"Prestor's Talisman of Connivery", 19377, "2025-07-26", "BWL"
"Pure Elementium Band", 19382, "2025-09-01", "BWL"
"Boots of Pure Thought", 19437, "2025-10-29", "BWL"
"Empowered Leggings", 19385, "2025-10-29", "BWL"
"Band of Accuria", 17063, "2025-12-04", "MC"
"Wild Growth Spaulders", 18810, "2026-05-01", "MC"
